"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","주 출입구 접근로 설치여부","장애인 전용 주차구역 지정여부","주 출입구 높이차이 제거여부","출입구(문) 설치유무","복도","계단/승강기/경사로/휠체어리프트 유무","장애인용 대변기 설치여부","장애인용 소변기 설치여부","점자블록 설치여부","유도 및 안내설비 설치여부","경보 및 피난설비 설치여부","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 영등포구","1156013200","01","S010000526","장훈고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 노원구","1135010600","01","S010000527","재현고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 송파구","1171010100","01","S010000528","정신여자고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 도봉구","1132010500","01","S010000529","정의여자고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","단순설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 용산구","1117012900","01","S010000530","중경고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강남구","1168011400","01","S010000531","중동고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","미설치","적정설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강남구","1168011400","01","S010000532","중산고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 종로구","1111014800","01","S010000533","중앙고등학교","04","사립","N","","단순설치","단순설치","미설치","단순설치","단순설치","미설치","단순설치","미설치","미설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강남구","1168011800","01","S010000534","중앙대학교사범대학부속고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 서대문구","1141011000","01","S010000535","중앙여자고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","","","2021"
